player_display_name,position,fantasy_points_ppr,recent_team,games_played
New Orleans Saints D/ST,DST,98.0,NO,17
Jaleel McLaughlin,RB,97.2,DEN,16
Parker Washington,WR,97.0,JAX,13
Atlanta Falcons D/ST,DST,97.0,ATL,17
Devin Singletary,RB,96.6,NYG,15
Gardner Minshew,QB,96.3,LV,10
Isaac Guerendo,RB,96.2,SF,13
Mac Jones,QB,96.1,JAX,10
Emanuel Wilson,RB,96.0,GB,17
Mason Rudolph,QB,95.8,TEN,8
New York Jets D/ST,DST,95.0,NYJ,17
Evan McPherson,K,94.0,CIN,12
Ricky Pearsall,WR,93.5,SF,10
Aidan O'Connell,QB,93.5,LV,9
Cam Akers,RB,93.2,HOU,15
Jalen Coker,WR,92.6,CAR,11
Tim Patrick,WR,92.4,DET,15
Ty Johnson,RB,91.7,BUF,17
Brenton Strange,TE,91.1,JAX,14
Indianapolis Colts D/ST,DST,91.0,IND,17
New York Giants D/ST,DST,91.0,NYG,17
Jordan Akins,TE,91.0,CLE,16
Greg Dortch,WR,90.3,ARI,17
Washington Commanders D/ST,DST,90.0,WAS,17
Evan Engram,TE,89.5,JAX,9
Diontae Johnson,WR,89.1,BAL,11
T.J. Hockenson,TE,86.5,MIN,10
Noah Brown,WR,86.3,WAS,11
Braelon Allen,RB,85.2,NYJ,17
David Moore,WR,85.1,CAR,14
Marquez Valdes-Scantling,WR,84.5,BUF,13
Dustin Hopkins,K,84.0,CLE,16
Miami Dolphins D/ST,DST,84.0,MIA,17
San Francisco 49ers D/ST,DST,84.0,SF,17
Zack Moss,RB,81.9,CIN,8
Rashid Shaheed,WR,81.8,NO,6
Samaje Perine,RB,81.4,KC,17
Cleveland Browns D/ST,DST,81.0,CLE,17
Cedric Tillman,WR,80.4,CLE,9
Sterling Shepard,WR,80.3,TB,13
Drew Lock,QB,80.1,NYG,7
A.J. Barner,TE,78.5,SEA,14
Tyler Boyd,WR,78.3,TEN,15
Roschon Johnson,RB,77.4,CHI,12
Miles Sanders,RB,77.3,CAR,11
Deshaun Watson,QB,76.7,CLE,7
Chris Olave,WR,76.7,NO,8
Ja'Tavion Sanders,TE,73.2,CAR,15
Tennessee Titans D/ST,DST,72.0,TEN,17
Jacksonville Jaguars D/ST,DST,71.0,JAX,17
Las Vegas Raiders D/ST,DST,71.0,LV,17
Christian Kirk,WR,70.9,JAX,8
Raheem Mostert,RB,70.9,MIA,12
Brandin Cooks,WR,69.6,DAL,10
Sean Tucker,RB,68.7,TB,11
Theo Johnson,TE,68.1,NYG,10
Dyami Brown,WR,67.4,WAS,15
Spencer Rattler,QB,67.3,NO,7
Troy Franklin,WR,67.1,DEN,16
Greg Joseph,K,66.0,NYJ,8
Josh Oliver,TE,65.8,MIN,11
Colby Parkinson,TE,65.4,LA,15
Kendrick Bourne,WR,65.1,NE,12
Rashee Rice,WR,64.9,KC,3
Lil'Jordan Humphrey,WR,64.3,DEN,14
Gus Edwards,RB,64.1,LAC,11
Jeremy McNichols,RB,63.8,WAS,14
Curtis Samuel,WR,63.7,BUF,14
Van Jefferson,WR,63.6,PIT,15
Nick Chubb,RB,63.3,CLE,8
New England Patriots D/ST,DST,63.0,NE,17
Justin Watson,WR,62.9,KC,15
Kenneth Gainwell,RB,62.6,PHI,16
Brandon Aiyuk,WR,62.4,SF,7
Anders Carlson,K,62.0,NYJ,7
Tyler Johnson,WR,61.1,LA,11
Josh Whyle,TE,60.8,TEN,14
Tyler Huntley,QB,60.7,MIA,5
Grant Calcaterra,TE,59.8,PHI,13
Dawson Knox,TE,59.1,BUF,14
Brayden Narveson,K,59.0,TEN,7
Andy Dalton,QB,59.0,CAR,6
Ezekiel Elliott,RB,57.5,DAL,15
Luke Schoonmaker,TE,57.1,DAL,10
Isiah Pacheco,RB,56.9,KC,7
Mike Williams,WR,56.8,NYJ,13
Malik Washington,WR,56.8,MIA,12
Kalif Raymond,WR,56.5,DET,10
Tommy Tremble,TE,56.4,CAR,10
Dare Ogunbowale,RB,56.0,HOU,15
Matthew Wright,K,56.0,TEN,5
John Metchie,WR,55.4,HOU,10
Emari Demercado,RB,54.7,ARI,13
Gabe Davis,WR,53.9,JAX,9
Trey Sermon,RB,53.8,IND,14
Adonai Mitchell,WR,53.8,IND,17
JuJu Smith-Schuster,WR,53.1,KC,11
Jordan Whittington,WR,52.5,LA,6
Cedrick Wilson,WR,51.9,NO,10
Malik Willis,QB,51.8,GB,6
Graham Gano,K,50.0,NYG,11
Elijah Higgins,TE,49.2,ARI,14
Nelson Agholor,WR,49.1,BAL,13
Audric Estime,RB,48.7,DEN,13
Nick Vannett,TE,48.5,TEN,12
Christian McCaffrey,RB,47.8,SF,4
D.J. Turner,WR,47.1,LV,10
Trey Benson,RB,47.0,ARI,12
Cade York,K,46.0,CIN,6
Parker Romo,K,46.0,MIN,4
Isaiah Davis,RB,45.9,NYJ,9
Marcus Mariota,QB,45.8,WAS,3
Jacoby Brissett,QB,45.2,NE,7
Johnny Mundt,TE,45.2,MIN,13
Darnell Washington,TE,45.0,PIT,13
Tyler Goodson,RB,44.4,IND,9
Michael Penix,QB,44.1,ATL,5
Adam Trautman,TE,43.8,DEN,13
Nate Adkins,TE,43.5,DEN,12
Dameon Pierce,RB,43.5,HOU,9
Christopher Brooks,RB,42.2,GB,11
Jahan Dotson,WR,41.9,PHI,14
Carolina Panthers D/ST,DST,41.0,CAR,17
Greg Zuerlein,K,41.0,NYJ,8
Derius Davis,WR,40.1,LAC,11
Tanner Hudson,TE,38.5,CIN,9
Josh Reynolds,WR,38.4,DEN,8
Robert Woods,WR,38.3,HOU,12
Zane Gonzalez,K,38.0,WAS,6
Cordarrelle Patterson,RB,37.5,PIT,13
Jamaal Williams,RB,37.1,NO,13
Ryan Miller,WR,36.8,TB,8
Michael Mayer,TE,36.6,LV,11
Drew Sample,TE,36.5,CIN,11
Tylan Wallace,WR,36.3,BAL,8
D'Ernest Johnson,RB,35.9,JAX,12
Erick All,TE,35.8,CIN,8
Michael Carter,RB,35.8,ARI,3
Jalen Brooks,WR,35.7,DAL,12
Pierre Strong,RB,35.2,CLE,11
Trey Palmer,WR,35.2,TB,10
Brock Wright,TE,35.0,DET,10
Luke McCaffrey,WR,34.8,WAS,12
Stone Smartt,TE,34.8,LAC,7
Payne Durham,TE,34.5,TB,5
Cade Stover,TE,34.3,HOU,13
Lucas Krull,TE,34.2,DEN,10
Blake Corum,RB,33.5,LA,14
Mecole Hardman,WR,33.2,KC,7
Matt Prater,K,33.0,ARI,4
Hassan Haskins,RB,32.8,LAC,11
Kimani Vidal,RB,32.7,LAC,9
Mo Alie-Cox,TE,32.7,IND,12
Ja'Lynn Polk,WR,32.7,NE,13
D'Onta Foreman,RB,32.6,CLE,10
Kylen Granson,TE,32.2,IND,14
Jonathan Mingo,WR,32.2,CAR,14
KhaDarel Hodge,WR,32.1,ATL,6
Dante Pettis,WR,32.0,NO,8
Malik Heath,WR,31.7,GB,5
Chris Rodriguez,RB,31.5,WAS,6
Khalil Herbert,RB,31.5,CIN,8
Joshua Dobbs,QB,30.8,SF,2
Riley Patterson,K,30.0,ATL,5
Patrick Taylor,RB,29.8,SF,5
Jake Bobo,WR,29.7,SEA,11
Zamir White,RB,29.3,LV,8
Kendre Miller,RB,29.1,NO,6
Tanner McKee,QB,28.8,PHI,2
Jamycal Hasty,RB,28.8,NE,9
Jeremy Ruckert,TE,28.5,NYJ,13
Ty Chandler,RB,28.4,MIN,10
Charlie Kolar,TE,28.3,BAL,7
Jamison Crowder,WR,28.2,WAS,4
Sincere McCormick,RB,27.2,LV,4
Kevin Austin,WR,27.0,NO,8
Bub Means,WR,26.8,NO,4
Jaylen Wright,RB,26.7,MIA,13
Eric Saubert,TE,26.7,SF,8
Tyler Higbee,TE,26.6,LA,3
Daniel Bellinger,TE,26.5,NYG,7
Jordan Mims,RB,26.1,NO,7
Spencer Shrader,K,26.0,KC,4
Andrew Ogletree,TE,25.9,IND,11
Kenny Pickett,QB,25.1,PHI,5
